BasinID,dwnBasinID,Area_km2,Shape_Leng,ws2024tl,ws3024tl,ws4024tl,ws2028tl,ws3028tl,ws4028tl,ws2038tl,ws3038tl,ws4038tl,Shape_Le_1,Shape_Area,FacilityID,Latitude,Longitude,Formatted Address
11610,0,15172,0,Medium-high (20-40%),Medium-high (20-40%),High (40-80%),Medium-high (20-40%),Medium-high (20-40%),High (40-80%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),13.24637217,1.418615807,701,30.21783601,-97.71287303,"2706 Montopolis Dr, Austin, TX 78741, USA"
9008,8922,10954,938000,Low-medium (10-20%),Low-medium (10-20%),Medium-high (20-40%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),10.5956272,1.313396943,702,47.42861401,0.685456033,"16 Rue Pierre et Marie Curie, 37100 Tours, France"
12011,12006,44074,0,Extremely high (>80%),High (40-80%),High (40-80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),High (40-80%),22.47737523,5.013346424,703,44.84680901,-93.23602596,"2411 E 86th St, Bloomington, MN 55425, USA"
8745,0,75079,2344000,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),25.6705492,8.6305996,704,45.57194036,9.358653623,"Via Giacomo Matteotti, 143, 20864 Agrate Brianza MB, Italy"
12011,12006,44074,0,Extremely high (>80%),High (40-80%),High (40-80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),High (40-80%),22.47737523,5.013346424,705,44.84680901,-93.23602596,"2411 E 86th St, Bloomington, MN 55425, USA"
3277,0,7569,774000,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),7.645503649,0.747692148,706,34.73813386,135.5737517,"1006 Kadoma, Osaka 571-0050, Japan"
10968,0,2395,0,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),4.218709353,0.233950506,707,34.18720801,-118.927667,"2421 W Hillcrest Dr, Thousand Oaks, CA 91320, USA"
10067,0,5528,0,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),Medium-high (20-40%),18.04798877,0.602079285,708,42.49930422,-71.16457447,"20 Sylvan Rd, Woburn, MA 01801, USA"
10067,0,5528,0,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),Medium-high (20-40%),18.04798877,0.602079285,709,42.49930422,-71.16457447,"20 Sylvan Rd, Woburn, MA 01801, USA"
3346,0,84,80000,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),0.796127555,0.008258903,710,34.60624818,135.4883353,"1-chÅme-2-8 Suminoe, Suminoe Ward, Osaka, 559-0004, Japan"
